127.0.0.1 - - [16/Jan/2026 21:24:32] "HEAD / HTTP/1.1" 200 -
127.0.0.1 - - [16/Jan/2026 21:25:16] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [16/Jan/2026 21:25:16] "GET /logo.png HTTP/1.1" 200 -
127.0.0.1 - - [16/Jan/2026 21:25:16] "GET /logologin.png HTTP/1.1" 200 -
127.0.0.1 - - [16/Jan/2026 21:25:16] "GET /js/main.js?v=10 HTTP/1.1" 200 -
127.0.0.1 - - [16/Jan/2026 21:25:18] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [16/Jan/2026 21:25:55] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [16/Jan/2026 21:25:55] "GET /logo.png HTTP/1.1" 200 -
127.0.0.1 - - [16/Jan/2026 21:25:55] "GET /logologin.png HTTP/1.1" 200 -
127.0.0.1 - - [16/Jan/2026 21:25:55] "GET /js/main.js?v=10 HTTP/1.1" 200 -
127.0.0.1 - - [16/Jan/2026 21:25:56] "GET / HTTP/1.1" 304 -
